kind,routeKey,floor,geometryId,pointsBefore,pointsAfter,pointsRemoved,turnsBefore,turnsAfter,turnsRemoved,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter
floorNav,中药房|||S1|||fromElevator,1楼,G0001,21,11,10,4,4,0,47.595923,47.595923,20.375,20.375
floorNav,中药房|||S1|||toElevator,1楼,G0001,21,11,10,4,4,0,47.595923,47.595923,20.375,20.375
floorNav,中药房|||S2|||fromElevator,1楼,G0002,8,5,3,1,1,0,21.248182,21.248182,20.984,20.984
floorNav,中药房|||S2|||toElevator,1楼,G0002,8,5,3,1,1,0,21.248182,21.248182,20.984,20.984
floorNav,中药房|||S6|||fromElevator,1楼,G0006,23,9,14,0,0,0,46.377392,46.377392,20.375,20.375
floorNav,中药房|||S6|||toElevator,1楼,G0006,23,9,14,0,0,0,46.377392,46.377392,20.375,20.375
floorNav,儿科门诊|||S2|||fromElevator,1楼,G0008,26,11,15,3,3,0,56.031079,56.031079,20.375,20.375
floorNav,儿科门诊|||S2|||toElevator,1楼,G0008,26,11,15,3,3,0,56.031079,56.031079,20.375,20.375
floorNav,儿科门诊|||S3|||fromElevator,1楼,G0009,21,9,12,2,2,0,56.108116,56.108116,20.397,20.397
floorNav,儿科门诊|||S3|||toElevator,1楼,G0009,21,9,12,2,2,0,56.108116,56.108116,20.397,20.397
floorNav,儿科门诊|||S5|||fromElevator,1楼,G0011,31,7,24,2,2,0,34.012456,34.012456,21.0,21.0
floorNav,儿科门诊|||S5|||toElevator,1楼,G0011,31,7,24,2,2,0,34.012456,34.012456,21.0,21.0
floorNav,儿科门诊|||S6|||fromElevator,1楼,G0012,18,8,10,2,2,0,28.973106,28.973106,20.197,20.197
floorNav,儿科门诊|||S6|||toElevator,1楼,G0012,18,8,10,2,2,0,28.973106,28.973106,20.197,20.197
floorNav,大伤门诊|||S1|||fromElevator,1楼,G0013,14,8,6,1,1,0,61.211025,61.211025,20.375,20.375
floorNav,大伤门诊|||S1|||toElevator,1楼,G0013,14,8,6,1,1,0,61.211025,61.211025,20.375,20.375
floorNav,大伤门诊|||S2|||fromElevator,1楼,G0014,7,6,1,2,2,0,43.035595,43.035595,20.984,20.984
floorNav,大伤门诊|||S2|||toElevator,1楼,G0014,7,6,1,2,2,0,43.035595,43.035595,20.984,20.984
floorNav,大伤门诊|||S4|||fromElevator,1楼,G0016,26,17,9,1,1,0,37.656611,37.656611,20.375,20.375
floorNav,大伤门诊|||S4|||toElevator,1楼,G0016,26,17,9,1,1,0,37.656611,37.656611,20.375,20.375
floorNav,急诊科|||S1|||fromElevator,1楼,G0019,27,9,18,1,1,0,44.025068,44.025068,20.197,20.197
floorNav,急诊科|||S1|||toElevator,1楼,G0019,27,9,18,1,1,0,44.025068,44.025068,20.197,20.197
floorNav,急诊科|||S2|||fromElevator,1楼,G0020,8,7,1,2,2,0,25.896235,25.896235,20.197,20.197
floorNav,急诊科|||S2|||toElevator,1楼,G0020,8,7,1,2,2,0,25.896235,25.896235,20.197,20.197
floorNav,急诊科|||S4|||fromElevator,1楼,G0022,19,7,12,2,2,0,34.830247,34.830247,20.197,20.197
floorNav,急诊科|||S4|||toElevator,1楼,G0022,19,7,12,2,2,0,34.830247,34.830247,20.197,20.197
floorNav,急诊科|||S5|||fromElevator,1楼,G0023,25,7,18,1,1,0,36.048854,36.048854,20.197,20.197
floorNav,急诊科|||S5|||toElevator,1楼,G0023,25,7,18,1,1,0,36.048854,36.048854,20.197,20.197
