routeId,geometryId,kind,routeKey,floor,image,card,sheet,cell,changed,pointsBefore,pointsAfter,turnsBefore,turnsAfter,routeLengthBefore,routeLengthAfter,clearanceBefore,clearanceAfter,redundantCollinearPointsAfter,lowAngleAlternationsAfter,visualReviewStatus,wallCrossing,unnecessaryBend,endpointIssue,reviewNotes
R00001,G0001,floorNav,中药房|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0001.jpg,all-route-sheets/sheet-001.jpg,1,true,21,11,4,4,47.595923,47.595923,20.375,20.375,0,1,pending,,,,
R00002,G0001,floorNav,中药房|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0001.jpg,all-route-sheets/sheet-001.jpg,1,true,21,11,4,4,47.595923,47.595923,20.375,20.375,0,1,pending,,,,
R00003,G0002,floorNav,中药房|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0002.jpg,all-route-sheets/sheet-001.jpg,2,true,8,5,1,1,21.248182,21.248182,20.984,20.984,0,0,pending,,,,
R00004,G0002,floorNav,中药房|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0002.jpg,all-route-sheets/sheet-001.jpg,2,true,8,5,1,1,21.248182,21.248182,20.984,20.984,0,0,pending,,,,
R00005,G0003,floorNav,中药房|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0003.jpg,all-route-sheets/sheet-001.jpg,3,false,4,4,1,1,21.339914,21.339914,21.0,21.0,0,0,pending,,,,
R00006,G0003,floorNav,中药房|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0003.jpg,all-route-sheets/sheet-001.jpg,3,false,4,4,1,1,21.339914,21.339914,21.0,21.0,0,0,pending,,,,
R00007,G0004,floorNav,中药房|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0004.jpg,all-route-sheets/sheet-001.jpg,4,false,2,2,0,0,8.79558,8.79558,21.0,21.0,0,0,pending,,,,
R00008,G0004,floorNav,中药房|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0004.jpg,all-route-sheets/sheet-001.jpg,4,false,2,2,0,0,8.79558,8.79558,21.0,21.0,0,0,pending,,,,
R00009,G0005,floorNav,中药房|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0005.jpg,all-route-sheets/sheet-001.jpg,5,false,5,5,0,0,7.636598,7.636598,20.772,20.772,0,0,pending,,,,
R00010,G0005,floorNav,中药房|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0005.jpg,all-route-sheets/sheet-001.jpg,5,false,5,5,0,0,7.636598,7.636598,20.772,20.772,0,0,pending,,,,
R00011,G0006,floorNav,中药房|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0006.jpg,all-route-sheets/sheet-001.jpg,6,true,23,9,0,0,46.377392,46.377392,20.375,20.375,0,0,pending,,,,
R00012,G0006,floorNav,中药房|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0006.jpg,all-route-sheets/sheet-001.jpg,6,true,23,9,0,0,46.377392,46.377392,20.375,20.375,0,0,pending,,,,
R00013,G0007,floorNav,儿科门诊|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0007.jpg,all-route-sheets/sheet-001.jpg,7,false,14,14,5,5,82.917959,82.917959,20.375,20.375,0,1,pending,,,,
R00014,G0007,floorNav,儿科门诊|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0007.jpg,all-route-sheets/sheet-001.jpg,7,false,14,14,5,5,82.917959,82.917959,20.375,20.375,0,1,pending,,,,
R00015,G0008,floorNav,儿科门诊|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0008.jpg,all-route-sheets/sheet-001.jpg,8,true,26,11,3,3,56.031079,56.031079,20.375,20.375,0,0,pending,,,,
R00016,G0008,floorNav,儿科门诊|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0008.jpg,all-route-sheets/sheet-001.jpg,8,true,26,11,3,3,56.031079,56.031079,20.375,20.375,0,0,pending,,,,
R00017,G0009,floorNav,儿科门诊|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0009.jpg,all-route-sheets/sheet-001.jpg,9,true,21,9,2,2,56.108116,56.108116,20.397,20.397,0,0,pending,,,,
R00018,G0009,floorNav,儿科门诊|||S3|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0009.jpg,all-route-sheets/sheet-001.jpg,9,true,21,9,2,2,56.108116,56.108116,20.397,20.397,0,0,pending,,,,
R00019,G0010,floorNav,儿科门诊|||S4|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0010.jpg,all-route-sheets/sheet-001.jpg,10,false,5,5,0,0,34.967265,34.967265,21.0,21.0,0,0,pending,,,,
R00020,G0010,floorNav,儿科门诊|||S4|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0010.jpg,all-route-sheets/sheet-001.jpg,10,false,5,5,0,0,34.967265,34.967265,21.0,21.0,0,0,pending,,,,
R00021,G0011,floorNav,儿科门诊|||S5|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0011.jpg,all-route-sheets/sheet-001.jpg,11,true,31,7,2,2,34.012456,34.012456,21.0,21.0,0,0,pending,,,,
R00022,G0011,floorNav,儿科门诊|||S5|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0011.jpg,all-route-sheets/sheet-001.jpg,11,true,31,7,2,2,34.012456,34.012456,21.0,21.0,0,0,pending,,,,
R00023,G0012,floorNav,儿科门诊|||S6|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0012.jpg,all-route-sheets/sheet-001.jpg,12,true,18,8,2,2,28.973106,28.973106,20.197,20.197,0,0,pending,,,,
R00024,G0012,floorNav,儿科门诊|||S6|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0012.jpg,all-route-sheets/sheet-001.jpg,12,true,18,8,2,2,28.973106,28.973106,20.197,20.197,0,0,pending,,,,
R00025,G0013,floorNav,大伤门诊|||S1|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0013.jpg,all-route-sheets/sheet-001.jpg,13,true,14,8,1,1,61.211025,61.211025,20.375,20.375,0,0,pending,,,,
R00026,G0013,floorNav,大伤门诊|||S1|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0013.jpg,all-route-sheets/sheet-001.jpg,13,true,14,8,1,1,61.211025,61.211025,20.375,20.375,0,0,pending,,,,
R00027,G0014,floorNav,大伤门诊|||S2|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0014.jpg,all-route-sheets/sheet-001.jpg,14,true,7,6,2,2,43.035595,43.035595,20.984,20.984,0,0,pending,,,,
R00028,G0014,floorNav,大伤门诊|||S2|||toElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0014.jpg,all-route-sheets/sheet-001.jpg,14,true,7,6,2,2,43.035595,43.035595,20.984,20.984,0,0,pending,,,,
R00029,G0015,floorNav,大伤门诊|||S3|||fromElevator,1楼,/assets/floor-maps/1F.jpg,all-route-cards/route-0015.jpg,all-route-sheets/sheet-001.jpg,15,false,5,5,0,0,43.217169,43.217169,21.0,21.0,0,0,pending,,,,
